facilityid	dest_node_id	vrid	qa_location	containerid	asin	sum_net_units	reason_short	creationdate	checkin_date	run_date	type	is_manifested
IMXJ	TIJ1	116NRGQ4Q		WL14	ZZR9Q9T2RV	1	System_Reject	2025-04-04	2025-04-08	2025-04-14	PROBLEM_SOLVING	N
IMXJ	MEX3	116TQQKNW		paXdesabr01	B07Q7Z983P	1	System_Reject	2025-03-29	2025-04-06	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	116W16N9Y	ESTANTE2 E1	tsX0drqvu7v	ZZRGYGZ0J3	1	System_Reject	2025-03-24	2025-03-30	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	TIJ1	112QBQZD5	ESTANTE1 E2	tsX0s5uayzr	B08D9PS769	11	System_Reject	2025-03-10	2025-03-15	2025-04-14	PROBLEM_SOLVING	N
IMXJ	MEX3	115Q68ZTB	CPS-UVA	tsXPBFL5D4M	B0D4QRP69G	1	System_Reject	2025-03-03	2025-03-14	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	112BQR8CN	ESTANTE1 E3	tsX1yjemju7	ZZU2EJ8TQH	1	System_Reject	2025-02-06	2025-02-18	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113R339MY		paXdesmar11	ZZRAPYN8MB	2	ASIN_Damaged	2025-04-03	2025-04-09	2025-04-14	PROBLEM_SOLVING	Y
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR9FO3OZX	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	HOU8_IMXN_09c614ed-a278-41f2-9e98-daf7ba32f0a9	DESTRUCTION AREA	paXdesabr21	ZZROBB77MV	1	ASIN_Damaged	2025-04-01	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZREAK62B5	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR8U4TCRX	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZRA4W54O9	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZR7W52M91	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXJ	TIJ1	113X4NG9F	CPS-UVA	paXdesmar10	ZZSI1Y6657	1	ASIN_Damaged	2025-03-21	2025-04-03	2025-04-14	PROBLEM_SOLVING	N
IMXN	IMXN	HOU6_IMXN_7240400f-3259-4175-b36c-3a2fb3f6544c		l1sys16	ZZRVLJR48D	1	Human_Reject	2025-04-09	2025-04-13	2025-04-14	PROBLEM_SOLVING	Y
